IP,PORT,Response Time(ms),Status Code,Server
104.18.112.7,443,349,400,cloudflare
104.18.112.0,443,349,400,cloudflare
104.18.112.166,443,345,400,cloudflare
104.18.112.56,443,346,400,cloudflare
104.18.112.211,443,349,400,cloudflare
104.18.112.186,443,349,400,cloudflare
104.18.112.30,443,353,400,cloudflare
104.18.112.255,443,349,400,cloudflare
104.18.112.245,443,355,400,cloudflare
104.18.112.44,443,352,400,cloudflare
104.18.112.18,443,353,400,cloudflare
104.18.112.196,443,356,400,cloudflare
104.18.112.247,443,360,400,cloudflare
104.18.112.203,443,361,400,cloudflare
104.18.112.49,443,363,400,cloudflare
104.18.112.122,443,364,400,cloudflare
104.18.112.48,443,367,400,cloudflare
104.18.112.134,443,368,400,cloudflare
104.18.112.209,443,371,400,cloudflare
104.18.112.50,443,371,400,cloudflare
104.18.112.74,443,372,400,cloudflare
104.18.112.13,443,374,400,cloudflare
104.18.112.32,443,373,400,cloudflare
104.18.112.223,443,374,400,cloudflare
104.18.112.131,443,374,400,cloudflare
104.18.112.101,443,377,400,cloudflare
104.18.112.157,443,378,400,cloudflare
104.18.112.230,443,378,400,cloudflare
104.18.112.139,443,377,400,cloudflare
104.18.112.67,443,379,400,cloudflare
104.18.112.45,443,380,400,cloudflare
104.18.112.147,443,382,400,cloudflare
104.18.112.150,443,383,400,cloudflare
104.18.112.241,443,384,400,cloudflare
104.18.112.232,443,385,400,cloudflare
104.18.112.17,443,385,400,cloudflare
104.18.112.197,443,389,400,cloudflare
104.18.112.108,443,386,400,cloudflare
104.18.112.85,443,388,400,cloudflare
104.18.112.253,443,387,400,cloudflare
104.18.112.185,443,390,400,cloudflare
104.18.112.167,443,391,400,cloudflare
104.18.112.87,443,393,400,cloudflare
104.18.112.208,443,392,400,cloudflare
104.18.112.224,443,392,400,cloudflare
104.18.112.26,443,393,400,cloudflare
104.18.112.140,443,393,400,cloudflare
104.18.112.133,443,392,400,cloudflare
104.18.112.99,443,393,400,cloudflare
104.18.112.246,443,397,400,cloudflare
104.18.112.112,443,399,400,cloudflare
104.18.112.25,443,399,400,cloudflare
104.18.112.169,443,400,400,cloudflare
104.18.112.66,443,402,400,cloudflare
104.18.112.187,443,405,400,cloudflare
104.18.112.104,443,405,400,cloudflare
104.18.112.240,443,406,400,cloudflare
104.18.112.180,443,406,400,cloudflare
104.18.112.51,443,406,400,cloudflare
104.18.112.23,443,407,400,cloudflare
104.18.112.138,443,411,400,cloudflare
104.18.112.148,443,416,400,cloudflare
104.18.112.39,443,423,400,cloudflare
104.18.112.41,443,459,400,cloudflare
104.18.112.5,443,466,400,cloudflare
104.18.112.19,443,493,400,cloudflare
104.18.112.212,443,510,400,cloudflare
104.18.112.43,443,322,400,cloudflare
104.18.112.46,443,326,400,cloudflare
63.250.56.69,443,677,400,apache
104.18.112.151,443,323,400,cloudflare
104.18.112.156,443,343,400,cloudflare
104.18.112.175,443,341,400,cloudflare
104.18.112.239,443,339,400,cloudflare
104.18.112.137,443,336,400,cloudflare
104.18.112.143,443,349,400,cloudflare
104.18.112.225,443,345,400,cloudflare
104.18.112.135,443,331,400,cloudflare
104.18.112.80,443,349,400,cloudflare
104.18.112.195,443,340,400,cloudflare
104.18.112.191,443,344,400,cloudflare
104.18.112.91,443,344,400,cloudflare
104.18.112.68,443,346,400,cloudflare
104.18.112.155,443,349,400,cloudflare
104.18.112.118,443,338,400,cloudflare
104.18.112.235,443,348,400,cloudflare
104.18.112.1,443,340,400,cloudflare
63.250.56.162,443,787,400,nginx/1.18.0 (ubuntu)
104.18.112.114,443,335,400,cloudflare
104.18.112.121,443,341,400,cloudflare
time.is,443,846,403,cloudflare
63.250.56.169,443,943,400,nginx
104.18.112.88,443,330,400,cloudflare
104.18.112.61,443,366,400,cloudflare
104.18.112.75,443,391,400,cloudflare
104.18.112.199,443,377,400,cloudflare
104.18.112.76,443,381,400,cloudflare
104.18.112.136,443,380,400,cloudflare
104.18.112.171,443,350,400,cloudflare
104.18.112.55,443,366,400,cloudflare
104.18.112.89,443,335,400,cloudflare
104.18.112.174,443,349,400,cloudflare
104.18.112.160,443,364,400,cloudflare
104.18.112.70,443,1227,400,cloudflare
104.18.112.106,443,333,400,cloudflare
104.18.112.237,443,1337,400,cloudflare
104.18.112.165,443,1343,400,cloudflare
104.18.112.28,443,1343,400,cloudflare
104.18.112.215,443,1348,400,cloudflare
104.18.112.47,443,1351,400,cloudflare
104.18.112.84,443,1356,400,cloudflare
104.18.112.113,443,1357,400,cloudflare
104.18.112.11,443,1357,400,cloudflare
104.18.112.115,443,1357,400,cloudflare
104.18.112.190,443,1357,400,cloudflare
63.250.56.251,443,1358,500,apache
104.18.112.170,443,1362,400,cloudflare
104.18.112.145,443,1374,400,cloudflare
104.18.112.10,443,1376,400,cloudflare
104.18.112.249,443,1378,400,cloudflare
104.18.112.244,443,1376,400,cloudflare
104.18.112.12,443,1376,400,cloudflare
104.18.112.162,443,1377,400,cloudflare
104.18.112.193,443,1375,400,cloudflare
104.18.112.124,443,1376,400,cloudflare
104.18.112.152,443,1375,400,cloudflare
104.18.112.78,443,1376,400,cloudflare
104.18.112.35,443,1376,400,cloudflare
104.18.112.14,443,1381,400,cloudflare
104.18.112.98,443,1381,400,cloudflare
104.18.112.73,443,1385,400,cloudflare
104.18.112.132,443,1396,400,cloudflare
104.18.112.130,443,1398,400,cloudflare
104.18.112.94,443,1399,400,cloudflare
104.18.112.79,443,1398,400,cloudflare
104.18.112.229,443,373,400,cloudflare
104.18.112.202,443,1434,400,cloudflare
63.250.56.15,443,1173,400,nginx/1.18.0
104.18.112.194,443,344,400,cloudflare
ip.sb,443,1630,403,cloudflare
104.18.112.105,443,344,400,cloudflare
104.18.112.77,443,332,400,cloudflare
104.18.112.176,443,348,400,cloudflare
104.18.112.233,443,336,400,cloudflare
104.18.112.183,443,341,400,cloudflare
104.18.112.103,443,342,400,cloudflare
104.18.112.142,443,345,400,cloudflare
104.18.112.200,443,337,400,cloudflare
104.18.112.93,443,347,400,cloudflare
104.18.112.16,443,347,400,cloudflare
104.18.112.129,443,1337,400,cloudflare
104.18.112.251,443,1348,400,cloudflare
104.18.112.109,443,1343,400,cloudflare
104.18.112.128,443,1343,400,cloudflare
104.18.112.29,443,351,400,cloudflare
104.18.112.63,443,352,400,cloudflare
104.18.112.31,443,1365,400,cloudflare
104.18.112.172,443,1365,400,cloudflare
japan.com,443,1918,200,cloudflare
104.18.112.111,443,346,400,cloudflare
63.250.56.7,443,623,400,nginx
104.18.112.201,443,321,400,cloudflare
104.18.112.228,443,337,400,cloudflare
104.18.112.192,443,343,400,cloudflare
104.18.112.163,443,340,400,cloudflare
104.18.112.42,443,342,400,cloudflare
104.18.112.20,443,336,400,cloudflare
singapore.com,443,2130,200,cloudflare
russia.com,443,2263,200,cloudflare
47.74.22.184,443,2292,400,cloudflare
104.18.112.198,443,337,400,cloudflare
63.250.56.77,443,2379,301,apache
104.18.112.164,443,338,400,cloudflare
104.18.112.252,443,1338,400,cloudflare
104.18.112.236,443,1346,400,cloudflare
104.18.112.27,443,345,400,cloudflare
104.18.112.159,443,350,400,cloudflare
104.18.112.110,443,342,400,cloudflare
63.250.56.44,443,1143,400,nginx
63.250.56.49,443,1670,400,nginx
104.18.112.72,443,336,400,cloudflare
63.250.56.195,443,741,400,nginx
63.250.56.209,443,2830,400,nginx/1.18.0 (ubuntu)
63.250.56.229,443,2514,400,apache
63.250.56.210,443,3076,400,nginx
104.18.112.154,443,3352,400,cloudflare
104.18.112.153,443,3360,400,cloudflare
104.18.112.213,443,3366,400,cloudflare
104.18.112.33,443,3371,400,cloudflare
104.18.112.24,443,3373,400,cloudflare
104.18.112.222,443,3371,400,cloudflare
104.18.112.219,443,3374,400,cloudflare
104.18.112.173,443,3374,400,cloudflare
104.18.112.38,443,3374,400,cloudflare
104.18.112.184,443,3376,400,cloudflare
104.18.112.141,443,3377,400,cloudflare
104.18.112.146,443,3377,400,cloudflare
104.18.112.34,443,3377,400,cloudflare
104.18.112.62,443,3376,400,cloudflare
104.18.112.206,443,3378,400,cloudflare
104.18.112.250,443,3378,400,cloudflare
104.18.112.15,443,3377,400,cloudflare
104.18.112.217,443,3377,400,cloudflare
104.18.112.181,443,3382,400,cloudflare
104.18.112.254,443,3382,400,cloudflare
104.18.112.214,443,3383,400,cloudflare
63.250.56.18,443,1049,400,rhino-core-shield
104.18.112.227,443,3385,400,cloudflare
104.18.112.216,443,3387,400,cloudflare
104.18.112.243,443,3387,400,cloudflare
104.18.112.90,443,3386,400,cloudflare
104.18.112.238,443,3403,400,cloudflare
104.18.112.231,443,3403,400,cloudflare
104.18.112.204,443,3403,400,cloudflare
104.18.112.9,443,3402,400,cloudflare
104.18.112.242,443,3403,400,cloudflare
104.18.112.8,443,3403,400,cloudflare
104.18.112.97,443,3406,400,cloudflare
104.18.112.207,443,3404,400,cloudflare
104.18.112.71,443,3403,400,cloudflare
104.18.112.248,443,3403,400,cloudflare
104.18.112.58,443,3403,400,cloudflare
104.18.112.168,443,3403,400,cloudflare
104.18.112.161,443,3402,400,cloudflare
104.18.112.221,443,3402,400,cloudflare
104.18.112.21,443,3404,400,cloudflare
104.18.112.149,443,3403,400,cloudflare
104.18.112.60,443,3402,400,cloudflare
104.18.112.53,443,3402,400,cloudflare
104.18.112.83,443,3405,400,cloudflare
104.18.112.125,443,3404,400,cloudflare
104.18.112.81,443,3402,400,cloudflare
104.18.112.182,443,3404,400,cloudflare
104.18.112.220,443,3403,400,cloudflare
104.18.112.188,443,3403,400,cloudflare
104.18.112.144,443,3403,400,cloudflare
104.18.112.95,443,3403,400,cloudflare
104.18.112.36,443,3403,400,cloudflare
104.18.112.205,443,3404,400,cloudflare
104.18.112.6,443,3412,400,cloudflare
104.18.112.2,443,3413,400,cloudflare
129.146.186.4,443,3449,400,cloudflare
time.cloudflare.com,443,3107,200,cloudflare
63.250.56.79,443,3556,400,tengine
63.250.56.105,443,3628,400,nginx
104.18.112.119,443,355,400,cloudflare
104.18.112.177,443,326,400,cloudflare
104.18.112.123,443,330,400,cloudflare
104.18.112.117,443,336,400,cloudflare
104.18.112.179,443,340,400,cloudflare
104.18.112.57,443,341,400,cloudflare
104.18.112.127,443,326,400,cloudflare
104.18.112.158,443,354,400,cloudflare
104.18.112.69,443,332,400,cloudflare
104.18.112.234,443,338,400,cloudflare
104.18.112.120,443,345,400,cloudflare
104.18.112.226,443,354,400,cloudflare
63.250.56.181,443,3862,400,nginx
63.250.56.4,443,3895,400,nginx
63.250.56.50,443,1051,400,nginx/1.10.3
63.250.56.70,443,626,400,nginx/1.18.0 (ubuntu)
104.18.112.59,443,349,400,cloudflare
104.18.112.178,443,356,400,cloudflare
104.18.112.54,443,336,400,cloudflare
63.250.56.231,443,695,400,apache
104.18.112.218,443,343,400,cloudflare
63.250.56.46,443,4231,404,
104.18.112.52,443,4339,400,cloudflare
63.250.56.151,443,4392,400,apache
104.18.112.86,443,4387,400,cloudflare
104.18.112.126,443,337,400,cloudflare
104.18.112.100,443,340,400,cloudflare
104.18.112.102,443,4430,400,cloudflare
63.250.56.3,443,1077,400,nginx
104.18.112.3,443,389,400,cloudflare
63.250.56.96,443,4436,400,
104.18.112.40,443,395,400,cloudflare
104.18.112.82,443,404,400,cloudflare
104.18.112.210,443,418,400,cloudflare
104.18.112.107,443,333,400,cloudflare
104.18.112.4,443,326,400,cloudflare
104.18.112.116,443,348,400,cloudflare
63.250.56.48,443,782,400,nginx
63.250.56.243,443,2673,400,nginx/1.18.0 (ubuntu)
104.18.112.37,443,342,400,cloudflare
63.250.56.90,443,1181,301,apache
104.18.112.96,443,338,400,cloudflare
104.18.112.189,443,1374,400,cloudflare
104.18.112.22,443,340,400,cloudflare
63.250.56.117,443,1630,400,nginx
63.250.56.214,443,1648,400,nginx/1.18.0 (ubuntu)
63.250.56.237,443,1720,400,nginx
63.250.56.207,443,3504,400,nginx
63.250.56.58,443,715,400,nginx
63.250.56.200,443,1039,400,nginx/1.18.0 (ubuntu)
63.250.56.235,443,796,301,apache
104.18.112.92,443,337,400,cloudflare
63.250.56.232,443,2255,301,apache
104.18.112.64,443,432,400,cloudflare
63.250.56.133,443,1643,400,
104.18.112.65,443,355,400,cloudflare
